dataset_id,n_patients,n_patients_level,median_survival_time,median_survival_time_level,censoring_rate,censoring_rate_level,max_follow_up_time,risk_table
piecewise_low_medium_low_3_1,47,low,13.122007782144314,medium,0.06758435254050617,low,36.0,"[47, 44, 44, 42, 40, 36, 28, 15, 2, 0]"
piecewise_low_medium_low_4_0,41,low,13.440689764647166,medium,0.08021032155636999,low,36.0,"[41, 40, 39, 37, 36, 33, 29, 19, 9, 1, 1, 1, 0]"
piecewise_low_medium_low_4_1,46,low,12.512378015006469,medium,0.0618067230607347,low,36.0,"[46, 46, 46, 44, 40, 35, 31, 10, 3, 1, 1, 1]"
piecewise_low_medium_low_5_0,32,low,10.846243734629962,medium,0.05062667734841803,low,36.0,"[32, 30, 25, 24, 22, 17, 9, 2, 1, 1, 0]"
piecewise_low_medium_low_5_1,34,low,19.58225051931103,medium,0.030873012434800166,low,36.0,"[34, 32, 29, 27, 27, 24, 20, 11, 2, 1, 1, 1]"
piecewise_low_medium_low_6_0,57,low,7.988059254792255,medium,0.01992822546379113,low,36.0,"[57, 55, 53, 50, 50, 46, 42, 37, 28, 13, 4, 2, 1, 1, 1, 0]"
piecewise_low_medium_low_6_1,42,low,12.965802533817918,medium,0.05416352593189291,low,36.0,"[42, 41, 39, 39, 35, 32, 24, 11, 3, 2, 1, 1]"
piecewise_low_medium_low_7_0,32,low,11.605630913197265,medium,0.02991787540913254,low,36.0,"[32, 31, 29, 29, 27, 21, 13, 2, 2, 2, 2]"
piecewise_low_medium_low_7_1,64,low,9.179531429550206,medium,0.04959154710338182,low,36.0,"[64, 61, 59, 56, 56, 55, 50, 43, 40, 33, 14, 3, 3, 3, 2, 2, 2, 0]"
piecewise_low_medium_low_8_0,65,low,12.258651365198912,medium,0.05362720540313917,low,36.0,"[65, 64, 62, 58, 50, 41, 22, 5, 2, 2, 2, 0]"
piecewise_low_medium_low_8_1,59,low,10.054195237376833,medium,0.038385305355276886,low,36.0,"[59, 57, 55, 50, 39, 22, 3, 2, 2, 0]"
piecewise_low_medium_low_9_0,52,low,13.542830541183573,medium,0.043321093473925015,low,36.0,"[52, 50, 49, 46, 43, 39, 34, 28, 9, 3, 3, 3, 0]"
piecewise_low_medium_low_9_1,51,low,15.611314019040124,medium,0.06538758101180803,low,36.0,"[51, 49, 47, 43, 37, 31, 11, 3, 3, 3]"
piecewise_low_medium_medium_0_0,50,low,15.526270937090851,medium,0.18724026972348043,medium,36.0,"[50, 43, 41, 38, 34, 26, 7, 2, 2, 1]"
piecewise_low_medium_medium_0_1,54,low,9.695304043966601,medium,0.3733975520555439,medium,36.0,"[54, 50, 47, 46, 45, 40, 38, 34, 29, 25, 21, 7, 2, 1, 1, 1, 1, 0]"
piecewise_low_medium_medium_1_0,53,low,12.773244406370878,medium,0.3242954852116775,medium,36.0,"[53, 51, 49, 46, 45, 45, 44, 43, 39, 35, 31, 29, 24, 19, 9, 4, 2, 0]"
piecewise_low_medium_medium_1_1,58,low,10.396399485928034,medium,0.2513076582909349,medium,36.0,"[58, 56, 55, 50, 49, 49, 47, 41, 36, 33, 24, 18, 5, 2, 0]"
piecewise_low_medium_medium_2_0,62,low,10.3897621335872,medium,0.2613595111899948,medium,36.0,"[62, 56, 55, 53, 50, 47, 47, 38, 35, 33, 25, 18, 5, 1, 0]"
piecewise_low_medium_medium_2_1,40,low,12.248990291008441,medium,0.32735555658889454,medium,36.0,"[40, 38, 37, 35, 32, 32, 32, 30, 27, 27, 24, 20, 14, 8, 4, 1, 0]"
piecewise_low_medium_medium_3_0,62,low,9.233940916944531,medium,0.30461842631489616,medium,36.0,"[62, 60, 57, 55, 51, 45, 40, 37, 29, 24, 9, 2, 1, 0]"
piecewise_low_medium_medium_3_1,56,low,15.033455292516166,medium,0.41321438574007563,medium,36.0,"[56, 53, 48, 44, 38, 33, 25, 21, 10, 1, 0]"
piecewise_low_medium_medium_4_0,42,low,10.580643059407976,medium,0.31785535938861287,medium,36.0,"[42, 41, 37, 32, 27, 24, 6, 1, 1, 1]"
piecewise_low_medium_medium_4_1,60,low,12.081101175597595,medium,0.2978209890327601,medium,36.0,"[60, 55, 53, 49, 44, 35, 24, 9, 1, 1, 1, 0]"
piecewise_low_medium_medium_5_0,33,low,11.591363964912848,medium,0.27526812922784805,medium,36.0,"[33, 31, 29, 26, 22, 22, 20, 20, 20, 17, 17, 14, 11, 6, 2, 2, 1, 0]"
piecewise_low_medium_medium_5_1,46,low,9.682389257880327,medium,0.39316966210927545,medium,36.0,"[46, 40, 35, 29, 20, 11, 2, 1, 1, 0]"
piecewise_low_medium_medium_6_0,40,low,15.042590035870383,medium,0.32035413279045305,medium,36.0,"[40, 37, 33, 26, 25, 15, 3, 2, 1, 0]"
piecewise_low_medium_medium_6_1,34,low,11.320799352244507,medium,0.3329126416929015,medium,36.0,"[34, 30, 26, 23, 18, 15, 4, 2, 2, 1, 0]"
piecewise_low_medium_medium_7_0,49,low,12.77289633217283,medium,0.2821830030613139,medium,36.0,"[49, 44, 38, 35, 32, 24, 21, 10, 2, 2, 2, 2]"
piecewise_low_medium_medium_7_1,50,low,10.23933763197239,medium,0.38440688376378007,medium,36.0,"[50, 46, 43, 41, 39, 37, 37, 28, 25, 23, 21, 10, 2, 1, 1, 1, 0]"
piecewise_low_medium_medium_8_0,64,low,13.453949303177351,medium,0.31202505989542534,medium,36.0,"[64, 62, 57, 51, 43, 35, 26, 14, 2, 1, 1, 1, 0]"
piecewise_low_medium_medium_8_1,53,low,9.307394392616962,medium,0.28683695983588314,medium,36.0,"[53, 52, 49, 46, 44, 38, 34, 29, 21, 13, 9, 3, 2, 2, 2, 2, 2, 0]"
piecewise_low_medium_medium_9_0,47,low,10.661993728668397,medium,0.278077877584913,medium,36.0,"[47, 44, 42, 42, 41, 38, 38, 35, 32, 28, 25, 22, 8, 2, 0]"
piecewise_low_medium_medium_9_1,55,low,9.9882210465776,medium,0.3373465353903836,medium,36.0,"[55, 51, 48, 42, 30, 23, 3, 1, 1, 0]"
piecewise_low_medium_high_0_0,43,low,12.915987314143031,medium,0.6849438048140549,high,36.0,"[43, 37, 35, 33, 24, 19, 12, 2, 2, 2, 2, 2]"
piecewise_low_medium_high_0_1,45,low,11.649939507615931,medium,0.8520532078776564,high,36.0,"[45, 34, 29, 27, 21, 14, 7, 3, 2, 1, 0]"
piecewise_low_medium_high_1_0,63,low,12.671218688896943,medium,0.6328211142840047,high,36.0,"[63, 59, 53, 48, 47, 45, 40, 39, 30, 30, 27, 25, 21, 14, 6, 2, 0]"
piecewise_low_medium_high_1_1,50,low,8.576700265129858,medium,0.554848288451494,high,36.0,"[50, 47, 41, 36, 34, 30, 25, 20, 17, 8, 3, 2, 1, 1, 1, 0]"
piecewise_low_medium_high_2_0,49,low,10.539525909297641,medium,0.7422777592313127,high,36.0,"[49, 41, 36, 32, 30, 27, 22, 20, 18, 13, 10, 10, 4, 1, 0]"
piecewise_low_medium_high_2_1,54,low,11.188419570539788,medium,0.7552230629056231,high,36.0,"[54, 48, 45, 41, 34, 32, 31, 27, 25, 20, 17, 14, 6, 2, 0]"
piecewise_low_medium_high_3_0,50,low,11.743091691772443,medium,0.6812584652693637,high,36.0,"[50, 48, 44, 40, 37, 32, 26, 23, 21, 19, 15, 12, 7, 1, 1, 0]"
piecewise_low_medium_high_3_1,48,low,16.045171522123855,medium,0.6553224108122105,high,36.0,"[48, 43, 40, 36, 27, 21, 17, 15, 10, 4, 1, 0]"
piecewise_low_medium_high_4_0,55,low,13.436588335157209,medium,0.7637874156260571,high,36.0,"[55, 50, 43, 35, 30, 19, 15, 8, 4, 1, 1, 1, 0]"
piecewise_low_medium_high_4_1,61,low,13.350033860654099,medium,0.5856542947950011,high,36.0,"[61, 57, 52, 45, 35, 31, 22, 10, 4, 1, 1, 1, 0]"
piecewise_low_medium_high_5_0,51,low,13.128279579770748,medium,0.7617656886787527,high,36.0,"[51, 47, 39, 35, 35, 30, 24, 22, 20, 19, 15, 13, 10, 8, 5, 3, 1, 0]"
piecewise_low_medium_high_5_1,46,low,11.972372636058376,medium,0.6840851158414013,high,36.0,"[46, 42, 38, 38, 34, 29, 28, 26, 21, 16, 13, 9, 5, 4, 2, 0]"
piecewise_low_medium_high_6_0,41,low,11.457636802941016,medium,0.7312467340555856,high,36.0,"[41, 36, 31, 25, 18, 14, 7, 2, 1, 1, 1]"
piecewise_low_medium_high_6_1,39,low,12.918406631857781,medium,0.7577571424359183,high,36.0,"[39, 37, 34, 31, 30, 27, 27, 24, 20, 20, 18, 14, 11, 6, 2, 1, 0]"
piecewise_low_medium_high_7_0,51,low,12.291307798214495,medium,0.7766498999804293,high,36.0,"[51, 40, 33, 29, 21, 16, 6, 1, 1, 1, 1, 0]"
piecewise_low_medium_high_7_1,52,low,12.909518652663001,medium,0.7320234912757765,high,36.0,"[52, 42, 35, 27, 24, 17, 11, 2, 1, 1, 1, 1]"
piecewise_low_medium_high_8_0,55,low,13.392073978160441,medium,0.613211246506386,high,36.0,"[55, 50, 43, 41, 31, 24, 14, 5, 3, 2, 2, 2, 0]"
piecewise_low_medium_high_8_1,57,low,10.437485882835128,medium,0.6687564346770255,high,36.0,"[57, 48, 39, 30, 19, 8, 3, 1, 1, 0]"
piecewise_low_medium_high_9_0,42,low,13.581626425703583,medium,0.6518420116866794,high,36.0,"[42, 36, 35, 28, 22, 19, 16, 9, 3, 2, 2, 2, 0]"
piecewise_low_medium_high_9_1,42,low,12.784085223459094,medium,0.7267320302530177,high,36.0,"[42, 39, 39, 27, 22, 15, 9, 5, 1, 1, 1, 1]"
piecewise_low_high_low_0_0,69,low,39.661782782006,high,0.05698050609599265,low,36.0,"[69, 67, 65, 62, 61, 58, 55, 50, 45, 37]"
piecewise_low_high_low_0_1,52,low,31.715277042769113,high,0.02816194120491193,low,36.0,"[52, 49, 46, 46, 45, 42, 39, 35, 30, 9]"
piecewise_low_high_low_1_0,58,low,37.02474625314435,high,0.06814952127972579,low,36.0,"[58, 57, 55, 54, 52, 51, 47, 42, 37, 32]"
piecewise_low_high_low_1_1,33,low,33.164015161519096,high,0.05512097639008509,low,36.0,"[33, 33, 32, 32, 32, 28, 26, 20, 17, 9]"
piecewise_low_high_low_2_0,60,low,34.9844238465542,high,0.0,low,36.0,"[60, 60, 59, 58, 57, 54, 48, 45, 40, 29]"
piecewise_low_high_low_2_1,47,low,40.665894382936415,high,0.06409048920897494,low,36.0,"[47, 47, 47, 46, 46, 43, 42, 37, 35, 30]"
piecewise_low_high_low_3_0,41,low,27.068256991298327,high,0.040938187957365035,low,36.0,"[41, 40, 39, 38, 34, 31, 26, 19, 3, 0]"
piecewise_low_high_low_3_1,56,low,40.724980064534975,high,0.06113992071853857,low,36.0,"[56, 54, 53, 53, 53, 49, 48, 43, 38, 36]"
piecewise_low_high_low_4_0,54,low,35.7550187240978,high,0.06632886990112677,low,36.0,"[54, 53, 52, 52, 52, 52, 47, 43, 39, 30]"
piecewise_low_high_low_4_1,54,low,36.96684614845737,high,0.024420114335446573,low,36.0,"[54, 54, 52, 52, 52, 52, 47, 43, 42, 36]"
piecewise_low_high_low_5_0,51,low,37.673805516081806,high,0.019993694042735693,low,36.0,"[51, 48, 48, 43, 42, 41, 40, 36, 31, 25]"
piecewise_low_high_low_5_1,54,low,37.22154851846668,high,0.024995285221025954,low,36.0,"[54, 51, 51, 47, 46, 45, 44, 38, 34, 26]"
piecewise_low_high_low_6_0,49,low,31.863704839216297,high,0.05804752248057338,low,36.0,"[49, 48, 47, 44, 42, 40, 36, 31, 24, 11]"
piecewise_low_high_low_6_1,49,low,27.740461033443456,high,0.0372140144404422,low,36.0,"[49, 47, 45, 43, 40, 36, 31, 24, 7, 3]"
piecewise_low_high_low_7_0,41,low,31.00364219102937,high,0.018938004475190364,low,36.0,"[41, 38, 36, 36, 36, 34, 26, 23, 16, 4]"
piecewise_low_high_low_7_1,38,low,29.720316346503143,high,0.05147225087253897,low,36.0,"[38, 34, 33, 33, 33, 30, 23, 22, 9, 2]"
piecewise_low_high_low_8_0,58,low,37.35763598608521,high,0.07104739390940086,low,36.0,"[58, 56, 56, 55, 53, 48, 45, 39, 33, 23]"
piecewise_low_high_low_8_1,41,low,45.90301200987301,high,0.05785709867942245,low,36.0,"[41, 40, 39, 38, 37, 37, 35, 33, 29, 25]"
piecewise_low_high_low_9_0,48,low,26.0906342061001,high,0.05546893230251966,low,36.0,"[48, 46, 45, 40, 38, 34, 28, 21, 4, 3]"
piecewise_low_high_low_9_1,37,low,45.59028024237654,high,0.08891306636186656,low,36.0,"[37, 36, 35, 35, 32, 31, 30, 29, 28, 25]"
piecewise_low_high_medium_0_0,49,low,34.569707442538785,high,0.29262404870553754,medium,36.0,"[49, 46, 43, 42, 38, 35, 30, 27, 21, 15]"
piecewise_low_high_medium_0_1,59,low,27.769589928950403,high,0.31703761532374247,medium,36.0,"[59, 54, 51, 50, 45, 38, 33, 27, 6, 2]"
piecewise_low_high_medium_1_0,41,low,33.74860702585982,high,0.3320279480825384,medium,36.0,"[41, 39, 35, 32, 31, 28, 24, 20, 15, 9]"
piecewise_low_high_medium_1_1,50,low,41.61119474850435,high,0.3110258544511913,medium,36.0,"[50, 49, 46, 42, 41, 41, 37, 34, 27, 21]"
piecewise_low_high_medium_2_0,54,low,42.16331497260078,high,0.33597734893994113,medium,36.0,"[54, 49, 49, 44, 43, 40, 37, 31, 27, 23]"
piecewise_low_high_medium_2_1,59,low,29.041943876084467,high,0.36941088800843325,medium,36.0,"[59, 52, 48, 44, 39, 34, 30, 23, 9, 2]"
piecewise_low_high_medium_3_0,59,low,37.26189105629006,high,0.26183775871038983,medium,36.0,"[59, 56, 50, 50, 48, 42, 41, 37, 29, 24]"
piecewise_low_high_medium_3_1,58,low,37.21829314692029,high,0.2987179369454168,medium,36.0,"[58, 55, 50, 48, 46, 40, 38, 32, 26, 20]"
piecewise_low_high_medium_4_0,63,low,36.72379217170519,high,0.31057012691841246,medium,36.0,"[63, 59, 57, 57, 53, 49, 41, 36, 34, 26]"
piecewise_low_high_medium_4_1,39,low,40.31968142329201,high,0.32334372646048604,medium,36.0,"[39, 38, 38, 36, 33, 31, 31, 28, 27, 22]"
piecewise_low_high_medium_5_0,44,low,34.383799887791206,high,0.21059706793729135,medium,36.0,"[44, 42, 39, 34, 33, 33, 30, 25, 21, 16]"
piecewise_low_high_medium_5_1,41,low,27.573885069541255,high,0.2991428112316811,medium,36.0,"[41, 36, 34, 31, 28, 26, 21, 13, 5, 2]"
piecewise_low_high_medium_6_0,48,low,47.737146743300116,high,0.2723091569865766,medium,36.0,"[48, 47, 46, 45, 42, 38, 33, 31, 28, 26]"
piecewise_low_high_medium_6_1,47,low,37.64387471539591,high,0.2631276592955648,medium,36.0,"[47, 46, 44, 41, 40, 34, 30, 28, 26, 20]"
piecewise_low_high_medium_7_0,37,low,41.82484835478347,high,0.33476564195524916,medium,36.0,"[37, 34, 33, 30, 29, 29, 26, 22, 19, 17]"
piecewise_low_high_medium_7_1,43,low,33.650912061755704,high,0.360323316546417,medium,36.0,"[43, 38, 35, 32, 30, 28, 25, 20, 18, 8]"
piecewise_low_high_medium_8_0,47,low,43.205292531899175,high,0.2564210835934706,medium,36.0,"[47, 43, 42, 39, 36, 36, 32, 29, 25, 20]"
piecewise_low_high_medium_8_1,77,low,37.58841924493059,high,0.2933597594046903,medium,36.0,"[77, 73, 70, 67, 64, 59, 54, 40, 30, 18]"
piecewise_low_high_medium_9_0,38,low,35.541358337331964,high,0.21133608125816067,medium,36.0,"[38, 37, 34, 30, 30, 28, 25, 21, 18, 15]"
piecewise_low_high_medium_9_1,36,low,39.063564471539024,high,0.3353379383147457,medium,36.0,"[36, 32, 28, 27, 26, 26, 25, 21, 17, 16]"
piecewise_low_high_high_0_0,39,low,34.51891980882099,high,0.6556761429208253,high,36.0,"[39, 36, 31, 27, 24, 19, 18, 13, 12, 7]"
piecewise_low_high_high_0_1,49,low,27.871371603379963,high,0.7201343954404968,high,36.0,"[49, 39, 37, 34, 32, 29, 27, 25, 18, 14, 5, 1]"
piecewise_low_high_high_1_0,44,low,43.83863167441332,high,0.64516605822996,high,36.0,"[44, 39, 36, 31, 26, 25, 22, 18, 14, 11]"
piecewise_low_high_high_1_1,42,low,31.911140486755023,high,0.611485521903014,high,36.0,"[42, 39, 33, 29, 28, 24, 19, 14, 13, 2]"
piecewise_low_high_high_2_0,54,low,39.590925798661075,high,0.7004323522123287,high,36.0,"[54, 47, 43, 39, 32, 27, 22, 19, 14, 11]"
